URL to redirect from,URL to redirect to,Article,Notes
https://album.tkdaction.com/2007/2007-itfnzwc-buildup/2007-02-itfnzwc-camp-am-selected,https://get.google.com/albumarchive/104630626121971598084/album/AF1QipOUFuEpl2dxdrlwhmRa9scfaOvqXxdIl0bBXXX4,https://www.tkdaction.com/2007/02/taupo-camp-junior-world-champs-team.html,
https://album.tkdaction.com/2007/2007-itfnz-world-champs-quebec/2007-itfnzwc-buildup/2007-02-itfnzwc-camp,https://get.google.com/albumarchive/104630626121971598084/album/AF1QipOUFuEpl2dxdrlwhmRa9scfaOvqXxdIl0bBXXX4,https://www.tkdaction.com/2007/02/taupo-camp-sunday-110207.html,There are 4 folders of images that were uploaded to this gallery
https://album.tkdaction.com/2007/2007-itfnz-world-champs-quebec/2007-itfnzwc-buildup/2007-02-17-itfnzwc-training-selected,https://get.google.com/albumarchive/104630626121971598084/album/AF1QipPg8EDZwoN_NpPyYZJ0HEtD9T6zVYQsA5E8bRjO,https://www.tkdaction.com/2007/02/training-saturday-170207.html,Selection of images change to B&W
https://album.tkdaction.com/2007/2007-itfnz-world-champs-quebec/2007-itfnzwc-buildup/2007-02-20-itfnzwc-training-selected,https://get.google.com/albumarchive/104630626121971598084/album/AF1QipNtxoI5xe9SeQmGxZTegf_BLkzcIxaeTEg_33Ro,https://www.tkdaction.com/2007/02/training-goes-up-notch.html,
https://album.tkdaction.com/2007/2007-itfnz-world-champs-quebec/2007-itfnzwc-buildup/2007-02-22-itfnzwc-training-selected,https://get.google.com/albumarchive/104630626121971598084/album/AF1QipOwaC6WdqZAMOOu13ZHgN6fo9wF1yPmecbu_Ae3,https://www.tkdaction.com/2007/02/training-thursday-220207.html,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-nz-camps/2006-05-27-tkd-camp-selected-best,https://photos.app.goo.gl/dy2zWQZ7KtZJJbHFA,https://www.tkdaction.com/2006/05/where-it-started-for-me-1st-junior.html,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-nz-camps\2006-06-24-tkd-camp-selected,https://photos.app.goo.gl/5ADEEZXcrA3kHdoy5,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-bw,https://photos.app.goo.gl/XARNeZDm9FMTvEPy9,** come back to **,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day02-houston-selected,https://photos.app.goo.gl/kU3xU8Bbt1PBidYN6,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day02-houston-selected-best,https://photos.app.goo.gl/cQ1FvMBAfUhLBse78,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day02-houston-training-selected,https://photos.app.goo.gl/aQPYpmwNp4P7KJR57,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day02-houston-training-selected-best,https://photos.app.goo.gl/4YAiCgL39rYkc3Va8,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day03-houston-selected,https://photos.app.goo.gl/DZvqnV7WX7bkQPLe9,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day03-houston-pm-selected-best,https://photos.app.goo.gl/D8Jb5C2KsY2p3NUy6,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day04-honduras-selected,https://photos.app.goo.gl/2Jrv9rGhmLuAwRVH7,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day05-honduras-selected,https://photos.app.goo.gl/UiWLy7FTtfjqj8W17,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day06-honduras-selected,https://photos.app.goo.gl/omuksXGebLH1pZcY7,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day06-honduras-selected-best,https://photos.app.goo.gl/qMh5QrerHyMtJYf39,,
https://album.tkdaction.com/2006/2006-itfnz-junior-world-champs-honduras/2006-tkdjwc-tour-and-training/2006-tkdjwc-day08-honduras-selected,https://photos.app.goo.gl/Qd2z2nZ2Nt3ceXGN7,,
